Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Country	Weighting
TRIP COM GROUP ADR LTD	Aktien	0,29	39,24	121780	4778647	4778647,2	Zyklische Konsumgüter 	US89677Q1076	NASDAQ	Volksrepublik China	0.00290058002523611
BYD LTD H	Aktien	0,29	24,74	192000	4749969	4749969,38	Zyklische Konsumgüter 	CNE100000296	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00288317294152017
BHARTI AIRTEL LTD	Aktien	0,27	7,3	613632	4477449	4477449,07	Kommunikation	INE397D01024	National Stock Exchange Of India	Indien	0.00271775646807615
SUNNY OPTICAL TECHNOLOGY LTD	Aktien	0,27	25,76	173000	4456113	4456112,98	IT	KYG8586D1097	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00270480572409349
Volksrepublik China MENGNIU DAIRY LTD	Aktien	0,27	5,74	765772	4398067	4398066,56	Nichtzyklische Konsumgüter	KYG210961051	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00266957226170513
FUBON FINANCIAL HOLDING LTD	Aktien	0,26	2,63	1608436	4231504	4231504,31	Financials	TW0002881000	Taiwan Stock Exchange	Taiwan	0.00256847102633701
BILIBILI AMERICAN DEPOSITARY SHARE	Aktien	0,25	108,93	38710	4216680	4216680,3	Kommunikation	US0900401060	NASDAQ	Volksrepublik China	0.00255947303475063
HYUNDAI MOBIS LTD	Aktien	0,25	257,96	16340	4215075	4215074,57	Zyklische Konsumgüter 	KR7012330007	Südkorea Exchange (Stock Market)	Südkorea	0.00255849837640717
GEELY AUTOMOBILE HOLDINGS LTD	Aktien	0,25	2,87	1456000	4176438	4176437,6	Zyklische Konsumgüter 	KYG3777B1032	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00253504621123841
BANK RAKYAT INDONESIA (PERSERO)	Aktien	0,25	0,3	13434500	4078750	4078749,91	Financials	ID1000118201	Indonesia Stock Exchange	Indonesien	0.00247575098594422
Volksrepublik China STEEL CORP	Aktien	0,24	1,37	2938323	4034760	4034759,66	Materialien	TW0002002003	Taiwan Stock Exchange	Taiwan	0.00244904944571435
KE HOLDINGS ADR REPRESENTING INC	Aktien	0,24	46,45	86068	3997859	3997858,6	Immobilien	US4824971042	New York Stock Exchange Inc.	Volksrepublik China	0.00242665095654653
NAN YA PLASTICS CORP	Aktien	0,24	3,1	1270260	3942344	3942344,28	Materialien	TW0001303006	Taiwan Stock Exchange	Taiwan	0.002392954447688
SHINHAN FINANCIAL GROUP LTD	Aktien	0,24	38,02	103620	3939871	3939871,02	Financials	KR7055550008	Südkorea Exchange (Stock Market)	Südkorea	0.00239145320931384
CHUNGHWA TELECOM LTD	Aktien	0,23	4,11	937000	3854854	3854853,84	Kommunikation	TW0002412004	Taiwan Stock Exchange	Taiwan	0.00233984882761563
BEIGENE ADR REPRESENTING LTD	Aktien	0,23	353,26	10906	3852654	3852653,56	Gesundheitsversorgung	US07725L1026	NASDAQ	Volksrepublik China	0.00233851328474108
CATHAY FINANCIAL HOLDING LTD	Aktien	0,23	1,98	1931824	3834367	3834367,38	Financials	TW0002882008	Taiwan Stock Exchange	Taiwan	0.00232741379858402
ASIAN PAINTS LTD	Aktien	0,22	40,06	92252	3695956	3695955,82	Materialien	INE021A01026	National Stock Exchange Of India	Indien	0.00224339968551082
Volksrepublik China LIFE INSURANCE LTD H	Aktien	0,22	2,05	1783128	3650460	3650460,26	Financials	CNE1000002L3	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00221578444064132
CTBC FINANCIAL HOLDING LTD	Aktien	0,22	0,82	4414847	3624604	3624603,73	Financials	TW0002891009	Taiwan Stock Exchange	Taiwan	0.0022000898452253
FORMOSA PLASTICS CORP	Aktien	0,22	3,83	942520	3605454	3605453,63	Materialien	TW0001301000	Taiwan Stock Exchange	Taiwan	0.00218846597026309
PUBLIC BANK	Aktien	0,22	1,02	3523650	3585109	3585109,01	Financials	MYL1295OO004	Bursa Malaysia	Malaysia	0.00217611703636544
Volksrepublik China RESOURCES LAND LTD	Aktien	0,21	4,57	775062	3542153	3542152,79	Immobilien	KYG2108Y1052	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00215004313961666
COUNTRY GARDEN SERVICES HOLDINGS L	Aktien	0,21	9,86	359000	3538234	3538233,95	Industrie	KYG2453A1085	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00214766445197759
ENN ENERGY HOLDINGS LTD	Aktien	0,21	18,27	193530	3535353	3535352,75	Versorger	KYG3066L1014	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00214591559904517
NEW ORIENTAL EDUCATION & TECHNOLOG	Aktien	0,21	9,22	382852	3529895	3529895,44	Zyklische Konsumgüter 	US6475811070	New York Stock Exchange Inc.	Volksrepublik China	0.00214260307905468
LG ELECTRONICS INC	Aktien	0,21	137,49	25451	3499242	3499241,79	Zyklische Konsumgüter 	KR7066570003	Südkorea Exchange (Stock Market)	Südkorea	0.00212399669085122
HCL TECHNOLOGIES LTD	Aktien	0,21	12,83	267534	3432021	3432020,79	IT	INE860A01027	National Stock Exchange Of India	Indien	0.00208319437134197
MARUTI SUZUKI INDIA LTD	Aktien	0,2	98,82	34329	3392496	3392496,35	Zyklische Konsumgüter 	INE585B01010	National Stock Exchange Of India	Indien	0.00205920352280796
CSPC PHARMACEUTICAL GROUP LTD	Aktien	0,2	1,55	2179280	3377008	3377008,14	Gesundheitsversorgung	HK1093012172	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00204980236999788
KOTAK MAHINDRA BANK LTD	Aktien	0,2	24,81	133465	3311111	3311111,14	Financials	INE237A01028	National Stock Exchange Of India	Indien	0.00200980370219018
ZTO EXPRESS CAYMAN ADR REPRESENTIN	Aktien	0,2	31,86	103132	3285786	3285785,52	Industrie	US98980A1051	New York Stock Exchange Inc.	Volksrepublik China	0.00199443136260866
ASE TECHNOLOGY HOLDING LTD	Aktien	0,2	4,01	815571	3266993	3266993,18	IT	TW0003711008	Taiwan Stock Exchange	Taiwan	0.00198302464356243
Volksrepublik China RESOURCES BEER HOLDINGS LTD	Aktien	0,2	9,15	356860	3266411	3266410,98	Nichtzyklische Konsumgüter	HK0291001490	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00198267125532931
INNOVENT BIOLOGICS INC	Aktien	0,19	11,38	283000	3219703	3219702,59	Gesundheitsversorgung	KYG4818G1010	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00195431983757976
Volksrepublik China PETROLEUM AND CHEMICAL CORP	Aktien	0,19	0,55	5798086	3199212	3199212,06	Energie	CNE1000002Q2	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00194188233810825
PTT NON-VOTING DR PCL	Aktien	0,19	1,32	2418360	3189683	3189683,45	Energie	TH0646010R18	Stock Exchange Of Thailand	Thailand	0.00193609858913548
LG HOUSEHOLD & HEALTH CARE LTD	Aktien	0,19	1369,52	2302	3152634	3152633,79	Nichtzyklische Konsumgüter	KR7051900009	Südkorea Exchange (Stock Market)	Südkorea	0.00191360990159692
UNI-PRESIDENT ENTERPRISES CORP	Aktien	0,19	2,66	1166548	3098446	3098445,79	Nichtzyklische Konsumgüter	TW0001216000	Taiwan Stock Exchange	Taiwan	0.00188071845265139
MEGA FINANCIAL HOLDING LTD	Aktien	0,19	1,19	2587578	3081562	3081561,67	Financials	TW0002886009	Taiwan Stock Exchange	Taiwan	0.00187046999965497
HANA FINANCIAL GROUP INC	Aktien	0,18	42,01	72893	3062100	3062100,14	Financials	KR7086790003	Südkorea Exchange (Stock Market)	Südkorea	0.00185865709051647
SK INNOVATION LTD	Aktien	0,18	244,97	12307	3014882	3014881,54	Energie	KR7096770003	Südkorea Exchange (Stock Market)	Südkorea	0.00182999598157761
TAL EDUCATION GROUP ADR REPTG	Aktien	0,18	30	100349	3010470	3010470	Zyklische Konsumgüter 	US8740801043	New York Stock Exchange Inc.	Volksrepublik China	0.00182731823110368
ZAI LABORATORY ADR REPRESENTING LT	Aktien	0,18	171,47	17419	2986836	2986835,93	Gesundheitsversorgung	US98887Q1040	NASDAQ	Volksrepublik China	0.00181297264154916
NCSOFT CORP	Aktien	0,18	755,07	3924	2962902	2962902,06	Kommunikation	KR7036570000	Südkorea Exchange (Stock Market)	Südkorea	0.00179844507708519
SAMSUNG BIOLOGICS LTD	Aktien	0,18	752,38	3937	2962139	2962138,92	Gesundheitsversorgung	KR7207940008	Südkorea Exchange (Stock Market)	Südkorea	0.00179798186049944
LI AUTO ADR INC	Aktien	0,18	25,64	114335	2931549	2931549,4	Zyklische Konsumgüter 	US50202M1027	NASDAQ	Volksrepublik China	0.00177941439841654
XPENG ADR INC	Aktien	0,18	37,11	78385	2908867	2908867,35	Zyklische Konsumgüter 	US98422D1054	New York Stock Exchange Inc.	Volksrepublik China	0.00176564667328266
TELEKOMUNIKASI INDONESIA	Aktien	0,17	0,24	11826900	2895708	2895708,29	Kommunikation	ID1000129000	Indonesia Stock Exchange	Indonesien	0.00175765928585073
CP ALL NON-VOTING DR PCL	Aktien	0,17	1,92	1483868	2846749	2846749,16	Nichtzyklische Konsumgüter	TH0737010R15	Stock Exchange Of Thailand	Thailand	0.0017279416966278
SINO BIOPHARMACEUTICAL LTD	Aktien	0,17	1,11	2567500	2846581	2846580,76	Gesundheitsversorgung	KYG8167W1380	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0017278394799008
Volksrepublik China GAS HOLDINGS LTD	Aktien	0,17	3,69	765954	2829058	2829058,46	Versorger	BMG2109G1033	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00171720365950038
FORMOSA CHEMICALS & FIBRE CORP	Aktien	0,17	3,16	888190	2811052	2811052,44	Materialien	TW0001326007	Taiwan Stock Exchange	Taiwan	0.00170627422701455
LARGAN PRECISION LTD	Aktien	0,17	109,71	25000	2742692	2742692,17	IT	TW0003008009	Taiwan Stock Exchange	Taiwan	0.00166478038463971
SK TELECOM LTD	Aktien	0,16	287,07	9478	2720855	2720855,39	Kommunikation	KR7017670001	Südkorea Exchange (Stock Market)	Südkorea	0.00165152572799055
SIAM CEMENT NON-VOTING DR PCL	Aktien	0,16	13,75	191787	2636880	2636879,62	Materialien	TH0003010R12	Stock Exchange Of Thailand	Thailand	0.00160055346934257
EVERGREEN MARINE CORP (TAIWAN) LTD	Aktien	0,16	4,2	614816	2584845	2584845,33	Industrie	TW0002603008	Taiwan Stock Exchange	Taiwan	0.00156896929585487
VIPSHOP HOLDINGS SPONSORED ADS REP	Aktien	0,16	23,33	110525	2578548	2578548,25	Zyklische Konsumgüter 	US92763W1036	New York Stock Exchange Inc.	Volksrepublik China	0.00156514704581195
AGRICULTURAL BANK OF Volksrepublik China LTD H	Aktien	0,15	0,4	6347997	2569691	2569691,38	Financials	CNE100000Q43	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00155977103475005
HMM LTD	Aktien	0,15	40,66	62176	2528363	2528362,58	Industrie	KR7011200003	Südkorea Exchange (Stock Market)	Südkorea	0.00153468496190772
NOVATEK MICROELECTRONICS CORP	Aktien	0,15	18,04	140000	2526164	2526163,84	IT	TW0003034005	Taiwan Stock Exchange	Taiwan	0.00153335035379422
SAMSUNG C&T CORP	Aktien	0,15	125,4	20113	2522119	2522119,22	Industrie	KR7028260008	Südkorea Exchange (Stock Market)	Südkorea	0.0015308953192435
LONGFOR GROUP HOLDINGS LTD	Aktien	0,15	5,85	428061	2502635	2502635,26	Immobilien	KYG5635P1090	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00151906879537112
TENCENT MUSIC ENTERTAINMENT GROUP	Aktien	0,15	15,41	161684	2491550	2491550,44	Kommunikation	US88034P1093	New York Stock Exchange Inc.	Volksrepublik China	0.00151234044608529
E.SUN FINANCIAL HOLDING LTD	Aktien	0,15	0,94	2658816	2489941	2489941,36	Financials	TW0002884004	Taiwan Stock Exchange	Taiwan	0.00151136375433307
ALIBABA HEALTH INFORMATION TECH LT	Aktien	0,15	2,53	982000	2488912	2488912,38	Gesundheitsversorgung	BMG0171K1018	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00151073917613982
