	Name	ISIN	Country	Currency	Exchange	Type of Security	Rating	Primary Listing	Industry Classification	Weighting
682	ACADEMEDIA	SE0007897079	Schweden	SEK	-	Equity	-	-	Consumer Discretionary	0.0004415378
683	ATTENDO AB	SE0007666110	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Health Care	0.0004390716
684	GO-AHEAD GROUP	GB0003753778	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa3	FTSE 100 Index	Industrials	0.0004380346
685	RIETER N	CH0003671440	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0004376563
686	INDUS HLDG	DE0006200108	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0004375947
687	RECTICEL	BE0003656676	Belgien	EUR	-	Equity	-	-	Materials	0.0004368573
688	NEOPOST	FR0000120560	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Information Technology	0.0004361805
689	ON THE BEACH GR.	GB00BYM1K758	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0004352913
690	FRONTIER DEVELOP.	GB00BBT32N39	Vereinigtes Königreich	GBP	-	Equity	-	-	Communication Services	0.0004345056
691	FALCK RENEWABLES	IT0003198790	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Utilities	0.0004322014
692	KELLER GROUP	GB0004866223	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0004293767
693	SLIGRO FOOD	NL0000817179	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Consumer Staples	0.0004292308
694	IRISH RES.PROPERTIES REIT	IE00BJ34P519	Irland	EUR	Irish Stock Exchange	Equity	-	ISEQ Irish Overall Index	Real Estate	0.0004279891
695	COOR SRVS. MNGT. HLDG.	SE0007158829	Schweden	SEK	-	Equity	-	-	Industrials	0.0004243026
696	CAVERION	FI4000062781	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Industrials	0.0004227431
697	RAI WAY	IT0005054967	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Communication Services	0.0004217416
698	DUSTIN GROUP	SE0006625471	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.0004152558
699	ADV.MED.SOLUTIONS	GB0004536594	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Health Care	0.0004150364
700	DRAEGERWERK VZ.	DE0005550636	Deutschland	EUR	XETRA	Equity	-	DAX Index	Health Care	0.0004147914
701	DIC ASSET	DE000A1X3XX4	Deutschland	EUR	XETRA	Equity	B1	DAX Index	Real Estate	0.0004135375
